transaction_dt,unique_trx_id,item_code,sale_price
2020-01-01,Q6DYGTDD2V,7512.0,68.68
2020-01-02,6DWJSNW3PA,3017.0,79.78
2020-01-03,A9FDTC56RD,4448.0,27.16
2020-01-04,MR9SOI1ATF,7789.0,35.13
2020-01-05,G8L8IFGH4G,5849.0,96.82
2020-01-06,ICJ5CH9QER,3978.0,86.37
2020-01-07,JBEW23TNTL,8303.0,27.91
2020-01-08,0C5BLJARBU,7682.0,61.2
2020-01-09,7BIT7GPWDX,3276.0,94.2
2020-01-10,4TD0T1S4A3,8441.0,60.39
2020-01-11,B0DUSB9NMK,9606.0,95.35
2020-01-12,5OMPIH36ZM,1158.0,99.8
2020-01-13,GEPX1JN246,6562.0,86.57
2020-01-14,T08HVTIUPB,2448.0,70.44
2020-01-15,C0YUWBGKL8,2965.0,57.61
2020-01-16,7HBJEPNGRF,,96.76
2020-01-17,MMEGZ02H7H,2245.0,84.42
2020-01-18,9UXW2YFDD0,9339.0,74.14
2020-01-19,4S8I28CWS3,1212.0,78.09
2020-01-20,9IOL1Y0V1V,3115.0,
