transaction_dt,unique_trx_id,item_code
2020-01-01,5NESJMC6JE,1713.0
2020-01-02,1GLV4ZCQQT,4538.0
2020-01-03,3H4PI9TF3R,5474.0
2020-01-04,QASPIAMR2J,8572.0
2020-01-05,OD8CZCYTGJ,
2020-01-06,TVD8IRIGNG,9009.0
2020-01-07,68XIAM4AGZ,1056.0
2020-01-08,MIZOEVN4RD,4301.0
2020-01-09,SSRBW1CUYA,5490.0
2020-01-10,UFU5LAP3O3,4214.0
2020-01-11,SP5NA2PWE5,
2020-01-12,YCD2Q7G4F1,
2020-01-13,VN7CH2QOJ8,
2020-01-14,I1BO0OLZZ8,8910.0
2020-01-15,EO40G6H0K6,7430.0
2020-01-16,M085J5AVF9,
2020-01-17,HNLWQIA8WY,8075.0
2020-01-18,PPKNQSP6FU,6213.0
2020-01-19,6X6XCW44HR,9223.0
2020-01-20,N5QR2OEM76,7313.0
