transaction_dt,unique_trx_id,item_code,item_sr_no,item_mfg_dt,sale_price,disc_price,store_no,store_name,customer_id,extra1,extra2,extra3
2020-01-01,TD1XGYYAW9,7989.0,5625,2024-01-05,54.22,34.04,3.0,"Young, Watts and Whitney",,determine,book,just
2020-01-02,XTUM3SWICJ,4710.0,3385,,91.67,42.64,1.0,Barrett-Anthony,,,no,stay
2020-01-03,Q33550LJSL,9033.0,2161,2023-09-26,57.9,15.75,8.0,Brandt PLC,2346.0,probably,agreement,activity
2020-01-04,V0K8OPLN71,2252.0,4438,,97.24,44.13,6.0,"Davis, Scott and Carter",2364.0,certainly,suggest,why
2020-01-05,KZTGZ36V3B,3451.0,1784,2024-01-20,11.44,,2.0,Davila LLC,,treatment,notice,movie
2020-01-06,J1MPIFT0SD,6999.0,3409,2024-02-07,58.34,35.04,6.0,Davis PLC,2655.0,avoid,own,kitchen
2020-01-07,B4Q1RURD8R,8599.0,9904,,22.54,26.86,7.0,Sweeney-Brown,7948.0,food,understand,hit
2020-01-08,5EJYUX68JL,3077.0,8834,2023-09-08,32.93,39.47,9.0,"Vasquez, Nguyen and Skinner",1033.0,north,public,expect
2020-01-09,472D5TNIJU,,9658,2024-02-04,96.98,35.55,2.0,Collins Ltd,2640.0,level,event,president
2020-01-10,9TWRCZ8X29,8225.0,7768,2023-08-05,21.76,6.53,10.0,Hester Group,2746.0,person,attack,structure
2020-01-11,7E6DTEWL9D,,5007,2023-07-15,84.96,12.22,10.0,Garcia-Olson,8071.0,,now,front
2020-01-12,CLX2U75KVM,6839.0,5958,2023-11-05,33.84,43.45,8.0,"Moore, Hart and Sutton",5737.0,whole,control,over
2020-01-13,UM4SYFY5IA,1248.0,1422,2023-06-01,19.03,45.08,3.0,Clark Group,9341.0,maybe,performance,executive
2020-01-14,E3ED8T3JC5,4183.0,8855,,53.42,38.44,5.0,"Robbins, Cohen and Wilson",6367.0,million,performance,respond
2020-01-15,J6E547N0IV,1379.0,9209,2023-09-11,16.19,49.22,,White Ltd,8753.0,call,seek,travel
2020-01-16,XLETGPQ7YY,,1725,2024-01-16,58.34,21.47,2.0,"Hernandez, Chandler and Fowler",4829.0,bring,send,have
2020-01-17,SQHRW91MH7,4969.0,9888,2023-07-26,76.45,14.3,9.0,"Wilson, Fields and Harrison",7222.0,human,listen,long
2020-01-18,1Z0HXW7IHJ,9184.0,3225,2023-07-18,39.24,8.64,1.0,"Sloan, Williams and Ross",,hope,affect,
2020-01-19,NYM3E743SF,1252.0,4942,2023-12-20,93.66,47.41,10.0,Peters-Tran,3262.0,measure,recently,situation
2020-01-20,2KRJELCTPS,4856.0,9731,2023-11-28,70.44,6.04,1.0,"Hamilton, Tucker and Clay",,special,,none
